,0,1
0,200.0,7.5
1,0.0,0.0
2,200.0,7.5
3,0.0,0.0
4,200.0,7.5
5,0.0,0.0
6,200.0,7.5
7,0.0,0.0
8,200.0,7.5
9,0.0,0.0
10,200.0,7.5
11,0.0,0.0
12,200.0,7.5
13,0.0,0.0
14,200.0,7.5
15,0.0,0.0
16,200.0,7.5
17,0.0,0.0
18,200.0,7.5
19,0.0,0.0
20,200.0,7.5
21,0.0,0.0
22,200.0,7.5
23,0.0,0.0
24,200.0,7.5
25,0.0,0.0
26,200.0,7.5
27,0.0,0.0
28,200.0,7.5
29,0.0,0.0
30,200.0,7.5
31,0.0,0.0
32,200.0,7.5
33,0.0,0.0
34,200.0,7.5
35,0.0,0.0
36,0.0,0.0
37,200.0,7.5
38,0.0,0.0
39,0.0,0.0
40,200.0,7.5
41,0.0,0.0
42,0.0,0.0
43,200.0,7.5
44,0.0,0.0
45,0.0,0.0
46,200.0,7.5
47,0.0,0.0
48,0.0,0.0
49,200.0,7.5
50,0.0,0.0
51,0.0,0.0
52,200.0,7.5
53,0.0,0.0
54,200.0,7.5
55,0.0,0.0
56,0.0,0.0
57,200.0,7.5
58,0.0,0.0
59,200.0,7.5
60,0.0,0.0
61,200.0,7.5
62,0.0,0.0
63,200.0,7.5
64,0.0,0.0
65,200.0,7.5
